RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
388,Josh Oliver,TE,MIN,6,GB,48,9,273,TE67,,,,,15,160,4,10.7,1.0/1.3,,,,,,,34,,,,,20,182,1,9.1,1.2/1.6,,,,,,,1,39.80
389,Carolina Panthers,DST,CAR,5,CHI,,,247,DST32,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,1,39.90
390,Arizona Cardinals,DST,ARI,14,@LAC,,,386,DST32,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,1,40.00
391,Brock Wright,TE,DET,6,NO,30,26,0,TE68,,,,,14,108,2,7.7,1.3/2.0,,,,,,,19,,,,,10,83,1,8.3,0.6/0.9,,,,,,,1,40.10
392,Miami Dolphins,DST,MIA,6,@LV,,,357,DST32,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,1,40.20
393,Davis Allen,TE,LAR,11,SF,51,15,0,TE69,,,,,24,208,3,8.7,1.4/1.9,,,,,,,19,,,,,9,82,1,9.1,0.5/0.8,,,,,,,1,40.30
394,Tory Horton,WR,SEA,11,NE,53,13,253,WR136,,,,,13,161,5,12.4,1.6/2.8,,,,,,,59,,,,,24,352,2,14.7,2.0/3.5,,,,,,,1,40.40
395,Adam Randall,RB,BAL,13,@IND,,19,262,RB94,,,,,,,,,,,,,,,,20,4.1,21,86,1,4,30,,7.4,0.3/0.5,,,,,,,1,40.50
396,Eli Heidenreich,WR,,,ATL,,,276,WR137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.60
397,Emari Demercado,RB,DAL,14,@NYG,52,5,282,RB95,7.1,44,312,,13,101,1,7.8,1.0/1.5,,,,,,,34,4.2,41,172,1,8,65,,8.1,0.5/0.6,,,,,,,1,40.70
398,Luke Farrell,TE,SF,8,@LAR,24,27,0,TE70,,,,,11,85,2,7.7,0.6/0.8,,,,,,,19,,,,,8,91,1,11.4,0.5/0.8,,,,,,,1,40.80
399,Cincinnati Bengals,DST,CIN,6,TB,,,318,DST32,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,1,40.90
400,Washington Commanders,DST,WAS,7,@PHI,,,345,DST32,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,1,41.00
